state_abbrev,state_name,state_fips,office,dist,year,votes_r,votes_d,votes_2p,d2pshare,incumbency,cand_r,inc_r,cand_d,inc_d,votes_o,votes_total,party_o,cand_o,inc_o,win_party,notes_cq,votes_extra,votes_plurality,lag_d2pshare,dpres
AK,ALASKA,2,G,,1978,49580,25656,75236,0.34100696,-1,"HAMMOND, JAY S.",Incumbent,"CROFT, CHANCY",Challenger,,126910,N/A,N/A,N/A,R,,51674,23924,0.49842986,
AK,ALASKA,2,G,,2010,151318,96519,247837,0.38944548,-1,"PARNELL, SEAN R.",Incumbent,"BERKOWITZ, ETHAN A.",Challenger,4775,256192,ALASKAN INDEPENDENT,"WRIGHT, DON",Challenger,R,"The other vote was: Toien, William S. (Libertarian) 2,682; Scattered Write-Ins (Write-in) 898",3580,54799,0.45881048,
AK,ALASKA,2,G,,2014,128435,,128435,,-1,"PARNELL, SEAN R.",Incumbent,,N/A,134658,279958,NON AFFILIATED,"WALKER, BILL",Challenger,NAF,"The other vote was: Clift, Carolyn F. (Libertarian) 8,985; Myers, J. R. (Constitution) 6,987; Scattered Write-Ins (Write-in) 893",16865,6223,0.38944548,
AK,ALASKA,2,G,,2022,132632,63851,196483,0.32496959,-1,"DUNLEAVY, MIKE J.",Incumbent,"GARA, LES",Challenger,54668,263752,NON-PARTISAN,"WALKER, BILL",Challenger,R,"The other vote was: Pierce, Charlie (Republican) 11,817; Write-In (Write-in) 784",12601,68781,0.46334893,
AL,ALABAMA,1,G,,1990,633519,582106,1215625,0.47885326,-1,"HUNT, GUY",Incumbent,"HUBBERT, PAUL R.",Challenger,,1216250,N/A,N/A,N/A,R,,625,51413,0.43552604,
AL,ALABAMA,1,G,,1998,554746,760155,1314901,0.57810819,-1,"JAMES, FORREST H. JR.",Incumbent,"SIEGELMAN, DON",Challenger,,1317842,N/A,N/A,N/A,D,,2941,205409,0.49551454,
AL,ALABAMA,1,G,,2006,718327,519827,1238154,0.41984034,-1,"RILEY, ROBERT",Incumbent,"BAXLEY, LUCY",Challenger,,1250401,N/A,N/A,N/A,R,,12247,198500,0.49883696,
AL,ALABAMA,1,G,,2014,750231,427787,1178018,0.3631413,-1,"BENTLEY, ROBERT",Incumbent,"GRIFFITH, PARKER",Challenger,2395,1180413,WRITE-IN,SCATTERED WRITE-INS,Challenger,R,,,322444,0.42101842,
AL,ALABAMA,1,G,,2018,1022457,694495,1716952,0.40449297,-1,"IVEY, KAY",Incumbent,"MADDOX, WALTER",Challenger,2637,1719589,WRITE-IN,SCATTERED WRITE-INS,Challenger,R,,,327962,0.3631413,
AL,ALABAMA,1,G,,2022,946932,412961,1359893,0.30367169,-1,"IVEY, KAY",Incumbent,"FLOWERS, YOLANDA ROCHELLE",Challenger,45958,1415283,LIBERTARIAN,"BLAKE, JIMMY",Challenger,R,"The other vote was: Write-In (Write-in) 9,432",9432,533971,0.40449297,
AR,ARKANSAS,5,G,,1968,322777,292813,615590,0.47566238,-1,"ROCKEFELLER, WINTHROP",Incumbent,"CRANK, MARION",Challenger,,615590,N/A,N/A,N/A,R,,,29964,0.45641646,
AR,ARKANSAS,5,G,,1970,196418,375648,572066,0.6566515,-1,"ROCKEFELLER, WINTHROP",Incumbent,"BUMPERS, DALE",Challenger,,608198,N/A,N/A,N/A,D,,36132,179230,0.47566238,
AR,ARKANSAS,5,G,,1982,357496,431855,789351,0.54710138,-1,"WHITE, FRANK D.",Incumbent,"CLINTON, BILL",Challenger,,789351,N/A,N/A,N/A,D,,,74359,0.48066396,
AR,ARKANSAS,5,G,,1998,421989,272923,694912,0.39274469,-1,"HUCKABEE, MIKE",Incumbent,"BRISTOW, BILL",Challenger,,706011,N/A,N/A,N/A,R,,11099,149066,0.59837061,
AR,ARKANSAS,5,G,,2002,427082,378250,805332,0.46968207,-1,"HUCKABEE, MIKE",Incumbent,"FISHER, JIMMIE LOU",Challenger,,805696,N/A,N/A,N/A,R,,364,48832,0.39274469,
AR,ARKANSAS,5,G,,2018,582406,283218,865624,0.32718363,-1,"HUTCHINSON, ASA",Incumbent,"HENDERSON, JARED K.",Challenger,25885,891509,LIBERTARIAN,"WEST, MARK",Challenger,R,,,299188,0.42808044,
AZ,ARIZONA,4,G,,1952,156592,103693,260285,0.39838254,-1,"PYLE, HOWARD",Incumbent,"HALDIMAN, JOE C.",Challenger,,260285,N/A,N/A,N/A,R,,,52899,0.4923397,
AZ,ARIZONA,4,G,,1954,115866,128104,243970,0.52508098,-1,"PYLE, HOWARD",Incumbent,"MCFARLAND, ERNEST W.",Challenger,,243970,N/A,N/A,N/A,D,,,12238,0.39838254,
AZ,ARIZONA,4,G,,1960,235502,161605,397107,0.40695581,-1,"FANNIN, PAUL",Incumbent,"ACKERMAN, LEE",Challenger,,397107,N/A,N/A,N/A,R,,,73897,0.44869089,
AZ,ARIZONA,4,G,,1962,200578,165263,365841,0.45173448,-1,"FANNIN, PAUL",Incumbent,"GODDARD, SAM",Challenger,,365841,N/A,N/A,N/A,R,,,35315,0.40695581,
AZ,ARIZONA,4,G,,1968,279923,204075,483998,0.4216443,-1,"WILLIAMS, JACK R.",Incumbent,"GODDARD, SAM",Challenger,,483998,N/A,N/A,N/A,R,,,75848,0.46229073,
AZ,ARIZONA,4,G,,1970,209522,201887,411409,0.4907209,-1,"WILLIAMS, JACK R.",Incumbent,"CASTRO, RAUL H.",Challenger,,411409,N/A,N/A,N/A,R,,,7635,0.4216443,
AZ,ARIZONA,4,G,,1974,273674,278375,552049,0.5042578,-1,"WILLIAMS, JACK R.",Incumbent,"CASTRO, RAUL H.",Challenger,,552202,N/A,N/A,N/A,D,,153,4701,0.4907209,
AZ,ARIZONA,4,G,,1994,593492,500702,1094194,0.45759892,-1,"SYMINGTON, FIFE",Incumbent,"BASHA, EDDIE",Challenger,,1129607,N/A,N/A,N/A,R,,35413,92790,0.47640094,
AZ,ARIZONA,4,G,,1998,620188,361552,981740,0.36827675,-1,"HULL, JANE DEE",Incumbent,"JOHNSON, PAUL",Challenger,,1017616,N/A,N/A,N/A,R,,35876,258636,0.45759892,
AZ,ARIZONA,4,G,,2010,938934,733935,1672869,0.4387283,-1,"BREWER, JAN",Incumbent,"GODDARD, TERRY",Challenger,38722,1728081,LIBERTARIAN,"HESS, BARRY J. II",Challenger,R,"The other vote was: Gist, Larry (Green) 16,128; Wood, Janelle (Write-in) 322; Dowls, Anton (Write-in) 28; Dolego, Cary (Write-in) 12",16490,204999,0.63845736,
AZ,ARIZONA,4,G,,2018,1330863,994341,2325204,0.42763603,-1,"DUCEY, DOUG",Incumbent,"GARCIA, DAVID",Challenger,50962,2376441,GREEN,"TORRES, ANGEL",Challenger,R,"The other vote was: Masoya, Patrick  (Write-in) 177; Komor, Christian  (Write-in) 66; Dolego, Cary (Write-in) 13; Arvizu, Arthur  Ray (Write-in) 12; Gibson, James II (Write-in) 7",275,336522,0.43779919,
CA,CALIFORNIA,6,G,,1950,2461754,1333856,3795610,0.35142073,-1,"WARREN, EARL",Incumbent,"ROOSEVELT, JAMES",Challenger,,3796090,N/A,N/A,N/A,R,,480,1127898,,
CA,CALIFORNIA,6,G,,1954,2290519,1739368,4029887,0.43161705,-1,"KNIGHT, GOODWIN J.",Incumbent,"GRAVES, RICHARD PERRIN",Challenger,,4030368,N/A,N/A,N/A,R,,481,551151,0.35142073,
CA,CALIFORNIA,6,G,,1970,3439664,2938807,6378471,0.46073848,-1,"REAGAN, RONALD",Incumbent,"UNRUH, JESS",Challenger,,6510272,N/A,N/A,N/A,R,,131801,500857,0.42346537,
CA,CALIFORNIA,6,G,,1986,4506601,2781714,7288315,0.38166764,-1,"DEUKMEJIAN, GEORGE",Incumbent,"BRADLEY, TOM",Challenger,,7443551,N/A,N/A,N/A,R,,155236,1724887,0.49391389,
CA,CALIFORNIA,6,G,,1994,4781766,3519799,8301565,0.42399222,-1,"WILSON, PETE",Incumbent,"BROWN, KATHLEEN",Challenger,,8665375,N/A,N/A,N/A,R,,363810,1261967,0.4817751,
CA,CALIFORNIA,6,G,,2006,4850157,3376732,8226889,0.41045067,-1,"SCHWARZENEGGER, ARNOLD",Incumbent,"ANGELIDES, PHIL",Challenger,,8679416,N/A,N/A,N/A,R,,452527,1473425,0.52712762,
CO,COLORADO,8,G,,1952,349924,260044,609968,0.42632401,-1,"THORNTON, DAN",Incumbent,"METZGER, JOHN W.",Challenger,,613034,N/A,N/A,N/A,R,,3066,89880,0.47386128,
CO,COLORADO,8,G,,1966,356730,287132,643862,0.44595271,-1,"LOVE, JOHN A.",Incumbent,"KNOUS, ROBERT L.",Challenger,,660063,N/A,N/A,N/A,R,,16201,69598,0.42939603,
CO,COLORADO,8,G,,1970,350690,302432,653122,0.46305591,-1,"LOVE, JOHN A.",Incumbent,"HOGAN, MARK",Challenger,,668496,N/A,N/A,N/A,R,,15374,48258,0.44595271,
CO,COLORADO,8,G,,1974,378907,441199,820106,0.53797799,-1,"VANDERHOOF, JOHN D.",Incumbent,"LAMM, RICHARD D.",Challenger,,828968,N/A,N/A,N/A,D,,8862,62292,0.46305591,
CO,COLORADO,8,G,,2002,884583,475373,1359956,0.34955028,-1,"OWENS, BILL",Incumbent,"HEATH, ROLLIE",Challenger,,1412602,N/A,N/A,N/A,R,,52646,409210,0.49677938,
CT,CONNECTICUT,9,G,,1954,460528,463643,924171,0.50168532,-1,"LODGE, HENRY CABOT JR.",Incumbent,"RIBICOFF, ABRAHAM A.",Challenger,,936753,N/A,N/A,N/A,D,,12582,3115,0.49005985,
CT,CONNECTICUT,9,G,,1998,628707,354187,982894,0.36035118,-1,"ROWLAND, JOHN G.",Incumbent,"KENNELLY, BARBARA B.",Challenger,,999537,N/A,N/A,N/A,R,,16643,274520,0.47465122,
CT,CONNECTICUT,9,G,,2002,573958,448984,1022942,0.43891442,-1,"ROWLAND, JOHN G.",Incumbent,"CURRY, BILL",Challenger,,1022998,N/A,N/A,N/A,R,,56,124974,0.36035118,
CT,CONNECTICUT,9,G,,2006,710048,398220,1108268,0.35931742,-1,"RELL, M. JODI",Incumbent,"DESTEFANO, JOHN JR.",Challenger,54,1123466,WRITE-IN,"JOY, JOHN M.",Challenger,R,"In Connecticut, there were 54 write-in votes for John M. Joy that were not broken down by county but are included in the statewide totals",15144,311828,0.43891442,
DE,DELAWARE,10,G,,1956,91965,85047,177012,0.48045895,-1,"BOGGS, JAMES CALEB",Incumbent,"MCCONNELL, J. H. TYLER",Challenger,,177012,N/A,N/A,N/A,R,,,6918,0.47890177,
DE,DELAWARE,10,G,,1972,109583,117274,226857,0.5169512,-1,"PETERSON, RUSSELL W.",Incumbent,"TRIBBITT, SHERMAN W.",Challenger,,228722,N/A,N/A,N/A,D,,1865,7691,0.49488962,
DE,DELAWARE,10,G,,1980,159004,64217,223221,0.28768352,-1,"DU PONT, PIERRE S. IV",Incumbent,"GORDY, WILLIAM J.",Challenger,,225081,N/A,N/A,N/A,R,,1860,94787,0.42752323,
DE,DELAWARE,10,G,,1988,169733,70236,239969,0.2926878,-1,"CASTLE, MICHAEL N.",Incumbent,"KRESHTOLL, JACOB",Challenger,,239969,N/A,N/A,N/A,R,,,99497,0.44470674,
FL,FLORIDA,12,G,,1970,746243,984305,1730548,0.56878227,-1,"KIRK, CLAUDE R. JR.",Incumbent,"ASKEW, REUBIN",Challenger,,1730813,N/A,N/A,N/A,D,,265,238062,0.44865227,
FL,FLORIDA,12,G,,1990,1535068,1995206,3530274,0.56517029,-1,"MARTINEZ, BOB",Incumbent,"CHILES, LAWTON",Challenger,597,3530871,WRITE-IN,"FLOYD, NULL",Challenger,D,,,460138,0.45438692,
FL,FLORIDA,12,G,,2002,2856845,2201427,5058272,0.43521324,-1,"BUSH, JEB",Incumbent,"MCBRIDE, BILL",Challenger,,5100581,N/A,N/A,N/A,R,,42309,655418,0.44727117,
FL,FLORIDA,12,G,,2014,2865343,2801198,5666541,0.49434003,-1,"SCOTT, RICK",Incumbent,"CRIST, CHARLIE",Challenger,223356,5951561,LIBERTARIAN,"WYLLIE, ADRIAN",Challenger,R,"The other vote was: Burkett, Glenn (Unaffiliated) 41,341; Khavari, Farid (Unaffiliated) 20,186; Scattered Write-Ins (Write-in) 137",61664,64145,0.49405557,
FL,FLORIDA,12,G,,2022,4614210,3106313,7720523,0.40234488,-1,"DESANTIS, RON",Incumbent,"CRIST, CHARLIE",Challenger,31577,7771399,NO PARTY AFFILIATION,"GIMENEZ, 	CARMEN JACKIE",Challenger,R,"The other vote was: Roos, Hector (Libertarian) 19,299",19299,1507897,0.49800104,
GA,GEORGIA,13,G,,2006,1229724,811049,2040773,0.39742243,-1,"PERDUE, SONNY",Incumbent,"TAYLOR, MARK",Challenger,,2122258,N/A,N/A,N/A,R,,81485,418675,0.47356185,
GA,GEORGIA,13,G,,2014,1345237,1144794,2490031,0.45975089,-1,"DEAL, NATHAN",Incumbent,"CARTER, JASON J.",Challenger,60185,2550648,LIBERTARIAN,"HUNT, ANDREW T.",Challenger,R,"The other vote was: Byrne, David C. (Write-in) 420; Jamison, Matthew (Write-in) 10; Porter, Chancey Andrell (Write-in) 2",432,200443,0.44766733,
GA,GEORGIA,13,G,,2022,2111572,1813673,3925245,0.46205345,-1,"KEMP, BRIAN",Incumbent,"ABRAMS, STACEY",Challenger,28163,3953408,LIBERTARIAN,"HAZEL, SHANE",Challenger,R,,,297899,0.49298799,
HI,HAWAII,15,G,,1962,81707,114308,196015,0.58315945,-1,"QUINN, WILLAM F.",Incumbent,"BURNS, JOHN A.",Challenger,,196015,N/A,N/A,N/A,D,,,32601,0.48770255,
HI,HAWAII,15,G,,2006,215313,121717,337030,0.36114588,-1,"LINGLE, LINDA",Incumbent,"IWASE, RANDY",Challenger,5435,344315,GREEN,"BREWER, JIM",Challenger,R,"The other vote was: Daniel, Ozell (Libertarian) 1,850",1850,93596,0.47695243,
IA,IOWA,19,G,,1950,506642,347176,853818,0.40661594,-1,"BEARDSLEY, WILLIAM",Incumbent,"GILLETTE, LESTER S.",Challenger,,857213,N/A,N/A,N/A,R,,3395,159466,,
IA,IOWA,19,G,,1952,638388,587671,1226059,0.47931707,-1,"BEARDSLEY, WILLIAM",Incumbent,"LOVELESS, HERSCHEL C.",Challenger,,1230045,N/A,N/A,N/A,R,,3986,50717,0.40661594,
IA,IOWA,19,G,,1956,587383,616852,1204235,0.51223558,-1,"HOEGH, LEO A.",Incumbent,"LOVELESS, HERSCHEL C.",Challenger,,1204235,N/A,N/A,N/A,D,,,29469,0.48482093,
IA,IOWA,19,G,,1962,388955,430899,819854,0.52558017,-1,"ERBE, NORMAN A.",Incumbent,"HUGHES, HAROLD E.",Challenger,,819854,N/A,N/A,N/A,D,,,41944,0.47859371,
IA,IOWA,19,G,,1970,403394,368911,772305,0.47767526,-1,"RAY, ROBERT E.",Incumbent,"FULTON, ROBERT",Challenger,,791241,N/A,N/A,N/A,R,,18936,34483,0.45920375,
IA,IOWA,19,G,,1972,707177,487282,1194459,0.40795204,-1,"RAY, ROBERT E.",Incumbent,"FRANZENBURG, PAUL",Challenger,,1210222,N/A,N/A,N/A,R,,15763,219895,0.47767526,
IA,IOWA,19,G,,1974,534518,377553,912071,0.41395134,-1,"RAY, ROBERT E.",Incumbent,"SCHABEN, JAMES F.",Challenger,,920458,N/A,N/A,N/A,R,,8387,156965,0.40795204,
IA,IOWA,19,G,,1978,491713,345519,837232,0.41269207,-1,"RAY, ROBERT E.",Incumbent,"FITZGERALD, JEROME D.",Challenger,,843190,N/A,N/A,N/A,R,,5958,146194,0.41395134,
IA,IOWA,19,G,,1986,472712,436987,909699,0.48036438,-1,"BRANSTAD, TERRY E.",Incumbent,"JUNKINS, LOWELL L.",Challenger,,910623,N/A,N/A,N/A,R,,924,35725,0.468485,
IA,IOWA,19,G,,1990,591852,379372,971224,0.39061224,-1,"BRANSTAD, TERRY E.",Incumbent,"AVENSON, DONALD D.",Challenger,,976483,N/A,N/A,N/A,R,,5259,212480,0.48036438,
